question,document,course
"If I miss the deadline for submissions, can I still get a certificate?",74eb249bbf,llm-zoomcamp
What is the format of the project submissions and what are the required materials?,74eb249bbf,llm-zoomcamp
Can someone who has already joined the course also submit their project later?,74eb249bbf,llm-zoomcamp
How long after submitting my project will I receive my certificate?,74eb249bbf,llm-zoomcamp
Will there be any penalties or late fees for me if I miss the submission deadline?,74eb249bbf,llm-zoomcamp
"Hey, I've signed up for the LLM Zoomcamp. What if I don't get the confirmation email?",977bf7786c,llm-zoomcamp
What's the point of registering for the course if it doesn't matter who actually attends? Can I just begin learning now?,977bf7786c,llm-zoomcamp
Will there be a limit on how many participants can join or access materials once the registration period closes?,977bf7786c,llm-zoomcamp
How long after registering can I start submitting homework and accessing course materials?,977bf7786c,llm-zoomcamp
"I've submitted my interest, but what happens next - is there an update on the start date or have I been accepted?",977bf7786c,llm-zoomcamp
I'm having trouble accessing video/zoom links for Office Hours. Can someone please provide me with the Youtube Live link I can use instead?,489dd1c9d9,llm-zoomcamp
How do I submit a question to Slido during live sessions? Is it through a URL or on the website?,489dd1c9d9,llm-zoomcamp
Is there an alternative method to watching Office Hours beyond YouTube and Zigya (Slack)?,489dd1c9d9,llm-zoomcamp
"If we miss our question in the chat, what should we do? Can anyone catch up with us afterwards?",489dd1c9d9,llm-zoomcamp
Can we expect video/zoom links for Office Hours to be published at least one or two days before the session?,489dd1c9d9,llm-zoomcamp
Hi what are the initial steps I should take before starting the course and how should I navigate the weekly workflow?,04919992b3,llm-zoomcamp
"Can I start the course on my own schedule, and where can I find resources for help if I get stuck?",04919992b3,llm-zoomcamp
"What's a typical lesson flow in the LLM Zoomcamp course, and how long do lessons usually last?",04919992b3,llm-zoomcamp
"How does homework differ from the lesson material, is it just more challenging questions or something different altogether?",04919992b3,llm-zoomcamp
"If I'm having trouble with a concept from watching the video lessons, where do I go for additional support, such as tutorials or pre-recorded explanations?",04919992b3,llm-zoomcamp
I've joined the course and can't figure out which nickname/displayed name I should use for my account. Can you provide some guidance?,c2903069a0,llm-zoomcamp
"Do I need to keep the same name when editing my course profile as the one given when I set up my account, and what are the implications if it's different?",c2903069a0,llm-zoomcamp
"I want to display a different name than 'Lucid Elbakyan' on the leaderboard, but I'm unsure how to change my displayed name. Can you provide more info?",c2903069a0,llm-zoomcamp
How long will it take for my changes to my profile/pick nickname/displayed name to be applied?,c2903069a0,llm-zoomcamp
Will my official name (like passport or ID card) appear on my Certificate if I don't edit my display name?,c2903069a0,llm-zoomcamp
What are the requirements to get a certificate after completing the course on my own schedule?,69d122f12e,llm-zoomcamp
I'm not part of a live cohort. Can I still earn a certificate?,69d122f12e,llm-zoomcamp
"Is homework required for the course, and if yes, can I do it in self-paced mode?",69d122f12e,llm-zoomcamp
Can I submit a capstone project and complete peer reviews while taking the self-paced route?,69d122f12e,llm-zoomcamp
How long do I have to finish my capstone project and complete peer reviews after the live cohort ends?,69d122f12e,llm-zoomcamp
"What constitutes the minimum number of homework assignments required to be considered as having completed the course, even if I miss one?",9f689c185f,llm-zoomcamp
"Will missing a homework assignment affect my overall score in terms of ranking, or only my Capstone project score?",9f689c185f,llm-zoomcamp
"Can I still get a certificate for the current session, or is it tied to upcoming sessions where I complete all coursework?",9f689c185f,llm-zoomcamp
"If I submit late homework assignments, can I retroactively apply extra points towards my overall score?",9f689c185f,llm-zoomcamp
How does my rank on the leaderboard change if I pass the Capstone project but fail some assignments?,9f689c185f,llm-zoomcamp
What happens if I edit something that has [DRAFT] after it's available?,96286b4be4,llm-zoomcamp
How long does it take for new homework content to become available?,96286b4be4,llm-zoomcamp
Can I access previous versions of homework before they're updated?,96286b4be4,llm-zoomcamp
"If a worksheet title is marked as [DRAFT], can I still see the previous version?",96286b4be4,llm-zoomcamp
Are updates or changes made during draft periods reflected in my final submissions?,96286b4be4,llm-zoomcamp
What is the exact date range for Summer 2027 section?,bd31146b0e,llm-zoomcamp
