question,answer_llm,answer_original,document
"If I miss the deadline for submissions, can I still get a certificate?","To answer your question directly: 

Yes, you CAN still get a certificate.

The text does not mention missing a homework submission, but getting an extension for one is mentioned in this section : A: ""No. We don't give individual deadline extensions, and once the homework submission form is closed you can no longer submit it — there are no late submissions.""

However the exact question asked is If I MISS THE DEADLINE FOR SUBMISSIONS...","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What is the format of the project submissions and what are the required materials?,"I'll answer questions based on the provided context.

1. To access the current workshop materials for the Open-Source Data Ingestion (DLT) workshop, you can find them in the `cohorts/2026/workshops/dlt` directory on GitHub.
2. To find a specific question or topic within this directory and get more detailed information on how to solve it, please provide the exact text of the question you are having trouble with","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can someone who has already joined the course also submit their project later?,"Yes, someone who has already joined the course and their project is ready to be submitted can do so later, as long as the submission form is still open after the deadline has passed. According to Q: ""The homework submission form is still open even though the deadline has passed — can I still submit?""","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
How long after submitting my project will I receive my certificate?,"I don't know how long after submitting my project I will receive my certificate, as this information is not explicitly provided in the context. However, it is mentioned that I should submit my project while a live cohort is accepting them and complete the required peer reviews to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Will there be any penalties or late fees for me if I miss the submission deadline?,"Based on the provided context:

There won't be any penalties or late fees for missing the submission deadline.

For a homework submission after the deadline: ""As long as the submission form is still open, you can submit your answers, even if the listed deadline has already passed.""

However, there might be consequences like:

Not getting a certificate due to not complying with the rule of reviewing fellow students' projects before assigning yours.
Missed peer reviews will not count toward the certificate.
Your score as a reviewer for other's projects may impact your overall assessment.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Hey, I've signed up for the LLM Zoomcamp. What if I don't get the confirmation email?","Based on the context provided, it is unlikely that you will receive a confirmation email that requires your attention. The statement ""You don't need it. You're accepted."" in the General Course-Related Questions section implies that registration for the LLM Zoomcamp is more of an interest gauge rather than a formal check-in requirement.

However, if your question isn't directly answered here and you want to get started with your learning and submissions, I recommend visiting the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) to start with their materials.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What's the point of registering for the course if it doesn't matter who actually attends? Can I just begin learning now?,"Yes, you can begin learning now as registered interest isn't checked against any list after all.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Will there be a limit on how many participants can join or access materials once the registration period closes?,"I don't know how many participants can join or access materials once the registration period closes. The provided context only discusses the details of capstone project evaluation, peer reviews, and the course platform features such as the leaderboard, but does not provide information about limiting participant access to materials after a certain point during the course.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How long after registering can I start submitting homework and accessing course materials?,"To answer your question, according to the provided context:

No specific time frame is provided for when you can start submitting homework after registering. However, it does state that you can ""start learning and submitting homework (while the form is open) without registering,"" suggesting that as long as the registration form is still open, you can begin submitting homework.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"I've submitted my interest, but what happens next - is there an update on the start date or have I been accepted?","I don't know. The context doesn't provide information on what happens after submitting interest, updating start dates, or being accepted for the LLM Zoomcamp. It primarily deals with questions related to course logistics, codespaces, capstone projects, and orchestration within the Zoomcamp platform itself.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
